AR103039;4;24;Mini y el gato;BVAM. 2 MINI Y EL GATO;;;13;;AUT,ILU,PER,TRA;2176,2177,10625,5388;2176;7;;;42;20;;2;3;;;9788434894563;9788434894563;1;17;54;78;19,00;12,00;0,70;32,00;32,00;0,00;;;;;PGR;;
AR103040;4;24;Mini va a la playa;BVAM. 3 MINI VA A LA PLAYA;;;13;;AUT,ILU,PER,TRA;2176,2177,10625,5388;2176;7;;;42;20;;3;3;;;9788434894570;9788434894570;1;17;52;77;19,00;12,00;0,70;32,00;32,00;0,00;;;;;PGR;;
AR103047;4;24;Mini va a esquiar;BVAM. 7 MINI VA A ESQUIAR;;;13;;AUT,ILU,PER,TRA;2176,2177,10625,5388;2176;7;;;42;20;;7;3;;;9788434894617;9788434894617;1;10;52;64;19,00;12,00;0,70;32,00;32,00;;;;;;PGR;;
AR103048;4;24;Mini y su nuevo abuelo;BVAM. 8 MINI Y SU NUEVO ABUELO;;;13;;AUT,ILU,PER,TRA;2176,2177,10625,5388;2176;7;;;42;20;;8;3;;;9788434894624;9788434894624;1;10;46;64;19,00;12,00;0,60;32,00;32,00;;;;;;PGR;;
AR103050;4;24;Mini no es una miedica;BVAM.10 MINI NO ES UNA MIEDICA;;;13;;AUT,ILU,PER,TRA;2176,2177,10625,5388;2176;7;;;42;20;;10;3;;;9788434894112;9788434894112;1;17;50;64;19,00;12,00;0,60;32,00;32,00;0,00;;;;;PGR;;
AR103056;4;24;Fray Perico, Calcetín y el guerrillero Martín;BVNFP.4 FRAY PERICO,CALCETIN Y EL GUERRI;;;13;;AUT,ILU,PER;2497,2092,10390;2497;9;;;373;54;;4;6;;;9788434896086;9788434896086;1;17;30;158;19,00;12,00;1,00;32,50;32,50;0,00;;;;;PGR;;
AR103236;4;24;Lupe come;GL.LUPE COME;;;13;;AUT,ILU,PER;6601,6601,10503;6601;3;;;275;;;;;;;9788434893924;9788434893924;2;10;20;10;17,00;17,00;0,90;99,00;99,00;;;;;;PGR;;
AR103237;4;24;Buenas noches, Lupe;GL.BUENAS NOCHES,LUPE;;;13;;AUT,ILU,PER;6601,6601,10503;6601;1;;;275;;;;;;;9788434893931;9788434893931;7;17;20;12;17,00;17,00;0,90;108,00;108,00;0,00;;;;;PGR;;
AR103239;4;24;Lupe en el jardín;GL.LUPE EN EL JARDIN;;;13;;AUT,ILU,PER;6601,6601,10503;6601;3;;;275;;;;;;;9788434893955;9788434893955;2;10;20;10;17,00;17,00;1,00;108,00;108,00;;;;;;PGR;;
AR103616;4;24;El síndrome de Mozart;GA.242 EL SINDROME DE MOZART;;;13;;AUT;2340;2340;14;;;499;;;;3;;;9788434894983;9788434894983;1;17;30;176;21,00;13,00;1,20;38,50;38,50;0,00;;;;;PGR;;
AR104193;4;4;La Biblia didáctica;LA BIBLIA DIDACTICA 05;;9;13;;AUT;4601;4601;11;;4;;;;;;;;9788434825543;9788434825543;3;10;6;1152;23,00;16,00;4,80;175,00;175,00;0,00;;;;;CON;;
AR104365;4;24;Molly Moon detiene el mundo;MM.DETIENE EL MUNDO;;;13;;AUT,ILU,TRA;6391,6392,5546;6391;8;;;361;;;;4;;;9788434896109;9788434896109;2;17;10;338;22,00;14,20;2,90;70,30;70,30;0,00;;;;;PGR;;
AR104757;4;24;Monstruo de ojos verdes;AR.71 MONSTRUO DE OJOS VERDES;;;13;;AUT;6254;6254;14;;;25;;;;3;;;9788467505856;9788467505856;1;17;20;240;21,00;13,00;1,40;38,50;38,50;0,00;;;;;PGR;;
AR104758;4;24;Rastro de Dios y otros cuentos;BVA.128 RASTRO DE DIOS Y OTROS CUENTOS;;;13;;AUT,ILU;2653,2666;2653;7;;;42;;;;4;;;9788467501933;9788467501933;1;17;34;128;19,00;12,00;1,10;32,00;32,00;0,00;;;;;PGR;;
AR105699;4;24;Café solo;BVR.158 CAFE SOLO;;;13;;AUT,ILU;6427,2430;6427;12;;;424;;;0;6;;;9788434898646;9788434898646;1;17;36;128;19,00;12,00;0,90;52,00;52,00;0,00;;;;;PGR;;
AR106677;4;24;Los ojos del lobo;GA.250 LOS OJOS DEL LOBO;;;13;;AUT;5008;5008;14;;;499;;;;3;;;9788467501681;9788467501681;1;17;24;224;21,00;13,00;1,30;38,50;38,50;0,00;;;;;PGR;;
AR106678;4;24;Una amistad peligrosa;UNA AMISTAD PELIGROSA;;;13;;AUT,ILU;2685,2685;2685;7;;;24;;;;;;;9788467502848;9788467502848;2;10;20;32;28,50;25,00;1,00;58,00;58,00;;;;;;PGR;;
AR106746;4;24;Sin los ojos;BVN.169 SIN LOS OJOS;;;13;;AUT,ILU;7034,2437;7034;9;;;373;;;0;3;;;9788467503388;9788467503388;1;17;34;112;19,00;12,00;0,80;32,50;32,50;0,00;;;;;PGR;;
AR108065;4;24;Memorias de Idhún I. La Resistencia;MID.MEMORIAS DE IDHUN I-LA RESISTENCIA;;;13;;AUT;2536;2536;12;;;344;;;;4;;;9788467502695;9788467502695;2;10;10;560;22,00;14,50;3,90;208,00;208,00;;;;;;PGR;;
AR108096;4;24;El regreso del gato asesino;BVA.133 EL REGRESO DEL GATO ASESINO;;;13;;AUT,ILU;2074,2799;2074;7;;;42;;;;6;;;9788434832596;9788434832596;1;17;52;80;19,00;12,00;0,70;32,00;32,00;0,00;;;;;PGR;;
AR108319;4;24;¡Zoom! Los viajes de gato y perro;¡ZOOM!LOS VIAJES DE GATO Y PERRO;Los viajes de Perro y Gato;;13;;AUT,ILU,TRA;7479,7479,4726;7479;3;;;;;;;;;;9788434841482;9788434841482;2;17;20;12;27,30;27,30;2,50;156,00;156,00;0,00;;;;;PGR;;
