AR108835;4;6;Didactired VI. Gestión de clase;DIDACTIRED GESTION DE CLASE VOL.VI 06;;16;13;;AUT;
AR108866;4;6;Aula Amigos 3 Internacional. Pack Alumno;ELE.AULA AMIGOS 3 LIBRO DEL ALUMNO 07;;;13;;AUT,AUT,AUT;
AR108867;4;6;Didactired IV. Competencias generales;DIDACTIRED COMPETENCIAS GRLES.VOL.IV 06;;16;13;;AUT;
AR108868;4;6;Aula Amigos 3 Internacional. RRDD;ELE.RD.AULA AMIGOS 3 07;;;13;;AUT,AUT,AUT;
AR108886;4;4;"Salgamos a buscarlo fuera de la ciudad";SA.SALGAMOS A BUSCARLO FUERA DE LA CIUDA;Notas para una teología y espiritualidad desde el cuarto mundo;;13;;AUT;
AR108923;4;4;Metodología catequística para niños;DJ. 2 METODOLOGIA CATEQUISTICA PARA NIÑO;Cómo dar catequesis hoy;;13;;AUT,EDI;
AR108971;4;24;El hombre que quería recordar;GA.254 EL HOMBRE QUE QUERIA RECORDAR;;;13;;AUT;
AR109596;4;24;Memorias de Idhún II. Tríada;MID.MEMORIAS DE IDHUN II-TRIAD;;;13;;AUT;
AR109639;4;24;Hoy no voy al cole;BVBGM.2 ¡HOY NO VOY AL COLE!;;;13;;AUT,ILU;
AR109641;4;24;¡No tengo sueño!;BVBGM.4 ¡NO TENGO SUEÑO!;;;13;;AUT,ILU;
AR109642;4;24;El dentista es un monstruo;BVBGM.5 ¡EL DENTISTA ES UN MONSTRUO!;;;13;;AUT,ILU;
AR109708;4;24;¿Quién quiere adoptarme?;BVB.111 ¿QUIEN QUIERE ADOPTARME?;;;13;;AUT,ILU;
AR109967;4;24;Siete reporteros y un periódico;BVN.175 SIETE REPORTEROS Y UN PERIODICO;;;13;;AUT,ILU;
AR110011;4;24;El joven Lennon;GA. 79 EL JOVEN LENNON-ED.ANIVERSARIO;;;13;;AUT;
AR110301;4;6;Gramática de uso del español: Teoría y práctica A1-B2;GRAMATICA DE USO DEL ESPAÑOL 05;;;13;;AUT,AUT;
AR110374;4;24;Abel regala soles;BVPC.80 ABEL REGALA SOLES;;;13;;AUT;
AR110575;4;24;Aunque diga fresas;AR.73 AUNQUE DIGA FRESAS;;;13;;AUT;
AR111042;4;1;Diccionario Clave: diccionario de uso del español actual;DICCIONARIO CLAVE 06;Diccionario de uso del español actual;;13;;AUT,PRO;
AR111075;4;1;Diccionario de sinónimos y antónimos del español actual;DICC.SINONIMOS Y ANTONIMOS GRANDE 06;;;13;;AUT;
AR111201;4;24;Vestimos a Sirenita;VA.LA SIRENITA;;;13;;AUT,ILU;
AR111202;4;24;Vestimos a Blancanieves;VA.BLANCANIEVES;;;13;;AUT,ILU;
AR111399;4;24;Memorias de Idhún III. Panteón;MID.MEMORIAS DE IDHUN III-PANT;;;13;;AUT;
